StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason
GroupOneStrategy,2019-Oct-10 15:42:06.508000,2019-Oct-10 15:42:06.508000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.575000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794974,,
GroupOneStrategy,2019-Oct-10 15:42:23.751000,2019-Oct-10 15:42:23.751000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.575000,0.175048,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794975,,
GroupOneStrategy,2019-Oct-10 15:43:05.519000,2019-Oct-10 15:43:05.519000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.575000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794976,,
GroupOneStrategy,2019-Oct-10 15:45:48.662000,2019-Oct-10 15:45:48.662000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.590000,0.175082,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794977,,
GroupOneStrategy,2019-Oct-10 15:53:41.953000,2019-Oct-10 15:53:41.953000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.505000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794978,,
GroupOneStrategy,2019-Oct-10 15:54:59.587000,2019-Oct-10 15:54:59.587000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.535000,0.174958,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794979,,
GroupOneStrategy,2019-Oct-10 15:55:02.505000,2019-Oct-10 15:55:02.505000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.535000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794980,,
GroupOneStrategy,2019-Oct-10 15:55:41.141000,2019-Oct-10 15:55:41.141000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.530000,0.174947,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794981,,
GroupOneStrategy,2019-Oct-10 15:56:07.953000,2019-Oct-10 15:56:07.953000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.530000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794982,,
GroupOneStrategy,2019-Oct-10 15:57:51.496000,2019-Oct-10 15:57:51.496000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.600000,0.175104,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794983,,
GroupOneStrategy,2019-Oct-10 16:00:10.881000,2019-Oct-10 16:00:10.881000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.540000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794984,,
GroupOneStrategy,2019-Oct-10 16:01:37.265000,2019-Oct-10 16:01:37.265000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.540000,0.174970,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794985,,
GroupOneStrategy,2019-Oct-10 16:06:59.860000,2019-Oct-10 16:06:59.860000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.525000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794986,,
GroupOneStrategy,2019-Oct-10 16:11:59.319000,2019-Oct-10 16:11:59.319000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.545000,0.174981,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794987,,
GroupOneStrategy,2019-Oct-10 16:14:03.479000,2019-Oct-10 16:14:03.479000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.545000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794988,,
GroupOneStrategy,2019-Oct-10 16:33:46.975000,2019-Oct-10 16:33:46.975000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.760000,0.175462,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794989,,
GroupOneStrategy,2019-Oct-10 16:34:12.736000,2019-Oct-10 16:34:12.736000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.760000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794990,,
GroupOneStrategy,2019-Oct-10 16:35:54.159000,2019-Oct-10 16:35:54.159000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.770000,0.175485,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794991,,
GroupOneStrategy,2019-Oct-10 16:36:16.740000,2019-Oct-10 16:36:16.740000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.780000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794992,,
GroupOneStrategy,2019-Oct-10 16:36:20.860000,2019-Oct-10 16:36:20.860000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.780000,0.175507,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794993,,
GroupOneStrategy,2019-Oct-10 16:52:05.121000,2019-Oct-10 16:52:05.121000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.665000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794994,,
GroupOneStrategy,2019-Oct-10 16:58:26.276000,2019-Oct-10 16:58:26.276000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.665000,0.175250,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794995,,
GroupOneStrategy,2019-Oct-10 17:04:47.504000,2019-Oct-10 17:04:47.504000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.575000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794996,,
GroupOneStrategy,2019-Oct-10 17:06:21.147000,2019-Oct-10 17:06:21.147000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.650000,0.175216,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794997,,
GroupOneStrategy,2019-Oct-10 17:09:23.776000,2019-Oct-10 17:09:23.776000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.630000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794998,,
GroupOneStrategy,2019-Oct-10 17:10:03.570000,2019-Oct-10 17:10:03.570000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.630000,0.175171,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972794999,,
GroupOneStrategy,2019-Oct-10 17:12:16.957000,2019-Oct-10 17:12:16.957000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.630000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795000,,
GroupOneStrategy,2019-Oct-10 17:23:30.597000,2019-Oct-10 17:23:30.597000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.710000,0.175350,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795001,,
GroupOneStrategy,2019-Oct-10 17:28:19.506000,2019-Oct-10 17:28:19.506000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.605000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795002,,
GroupOneStrategy,2019-Oct-10 17:33:00.259000,2019-Oct-10 17:33:00.259000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.740000,0.175418,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795003,,
GroupOneStrategy,2019-Oct-10 18:00:52.270000,2019-Oct-10 18:00:52.270000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.555000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795004,,
GroupOneStrategy,2019-Oct-10 18:04:34.255000,2019-Oct-10 18:04:34.255000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.520000,0.174925,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795005,,
GroupOneStrategy,2019-Oct-10 18:07:04.384000,2019-Oct-10 18:07:04.384000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.555000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795006,,
GroupOneStrategy,2019-Oct-10 18:07:28.444000,2019-Oct-10 18:07:28.444000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.690000,0.175306,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795007,,
GroupOneStrategy,2019-Oct-10 18:07:57.559000,2019-Oct-10 18:07:57.559000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.720000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795008,,
GroupOneStrategy,2019-Oct-10 18:09:08.885000,2019-Oct-10 18:09:08.885000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.925000,0.175832,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795009,,
GroupOneStrategy,2019-Oct-10 18:09:09.785000,2019-Oct-10 18:09:09.785000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.925000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795010,,
GroupOneStrategy,2019-Oct-10 18:09:13.651000,2019-Oct-10 18:09:13.651000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.925000,0.175832,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795011,,
GroupOneStrategy,2019-Oct-10 18:09:15.711000,2019-Oct-10 18:09:15.711000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.910000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795012,,
GroupOneStrategy,2019-Oct-10 18:09:16.472000,2019-Oct-10 18:09:16.472000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.910000,0.175798,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795013,,
GroupOneStrategy,2019-Oct-10 18:09:28.874000,2019-Oct-10 18:09:28.874000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.910000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795014,,
GroupOneStrategy,2019-Oct-10 18:09:33.478000,2019-Oct-10 18:09:33.478000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.910000,0.175798,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795015,,
GroupOneStrategy,2019-Oct-10 18:09:33.569000,2019-Oct-10 18:09:33.569000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.910000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795016,,
GroupOneStrategy,2019-Oct-10 18:09:39.942000,2019-Oct-10 18:09:39.942000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.870000,0.175709,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795017,,
GroupOneStrategy,2019-Oct-10 18:09:44.375000,2019-Oct-10 18:09:44.375000,FILLED,FILL,VXX,BUY,MARKET,DAY,0.200000,100,0,100,0,24.870000,0.120000,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795018,,
GroupOneStrategy,2019-Oct-10 18:09:44.726000,2019-Oct-10 18:09:44.726000,FILLED,FILL,VXX,SELL,MARKET,DAY,-0.200000,-100,0,-100,0,24.870000,0.175709,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,361442972795019,,
